epoch,L_fid,L_sim,L_c,L_extrap,total_loss,val_loss
1,4.5197616,0.36843026,0.48425844,0.0,5.00402,0.94330233
2,2.6433814,0.37078258,0.49793747,0.0,3.1783965,0.9917485
3,2.6184773,0.34077358,0.49984694,0.0,3.1864786,0.9968463
4,2.4590025,0.3436198,0.49998957,0.0,3.0620778,1.0059062
5,2.3128757,0.33360615,0.4999991,0.0,2.9463172,1.0594887
6,3.4853337,0.33734855,0.49999952,0.0,4.1540074,1.1081136
7,2.3948612,0.33789566,0.5,0.0,3.0975986,1.1357095
8,2.4262607,0.33204815,0.5,0.0,3.158694,1.1792078
9,2.4316554,0.29813117,0.5,0.0,3.17016,1.191858
10,2.2901921,0.31117636,0.4999983,0.0,3.0702493,1.2018557
11,2.298008,0.30357176,0.49999267,0.0,3.1015728,1.2118852
