x,y_test,y_predicted
3600.0,3.023424,2.416404
3601.4893,-2.5467036,2.059314
3602.9785,1.0241235,2.095974
3604.4678,-2.7665427,2.3771937
3605.9568,-3.2220936,2.4098368
3607.446,-1.2147067,2.120555
3608.9353,8.188568,2.431742
3610.4246,-4.1900816,2.3772576
3611.9138,3.4782019,2.4887607
3613.403,-2.3104148,2.425231
3614.892,1.9914312,2.5932255
3616.3813,2.6881175,2.303118
3617.8706,1.501116,2.2911043
3619.3599,-2.6962867,2.2830062
3620.849,-0.67153865,2.4352288
3622.3384,1.3059759,2.25104
3623.8276,3.996648,2.1601853
3625.3167,6.0365753,2.1260028
3626.806,1.0801481,2.105285
3628.2952,3.0530996,2.1740146
3629.7844,4.0461583,2.215766
3631.2737,1.0485886,2.230692
3632.763,4.167545,2.2530303
3634.252,5.1713085,2.233162
3635.7412,-0.92334837,2.1157517
3637.2305,0.20482287,2.2320893
3638.7197,1.399182,2.0177422
3640.209,1.921751,2.1642349
3641.6982,-2.5116925,2.0444295
3643.1873,4.138778,1.8889031
3644.6765,7.508535,1.9393489
3646.1658,2.820955,2.1208115
3647.655,-1.0498785,2.1618514
3649.1443,2.8690019,2.0188646
3650.6335,5.008647,2.0797784
3652.1228,4.181523,1.9945011
3653.6118,2.0276442,1.990884
3655.101,1.8206116,2.0928664
3656.5903,-0.37710452,1.9851514
3658.0796,2.3354387,2.097795
3659.5688,2.7064614,1.894383
3661.058,1.1646824,1.86555
3662.547,-4.409663,2.045229
3664.0364,0.8310681,2.0725281
3665.5256,0.77398664,2.0150099
3667.015,3.738894,1.8908564
3668.5042,4.557315,2.1375492
3669.9934,1.5309304,2.0059602
3671.4827,4.820099,1.874327
3672.9717,-1.7536125,1.9153205
3674.461,9.111735,2.0851097
3675.9502,0.045580555,2.0174432
3677.4395,2.3592823,2.1154444
3678.9287,2.460348,1.8453585
3680.418,-1.2805355,2.047173
3681.907,-1.3708473,1.997006
3683.3962,1.3925993,2.1003578
3684.8855,3.9295714,2.1476982
3686.3748,2.5309095,2.2578201
3687.864,-1.8110071,1.9102961
3689.3533,-1.3536358,2.1721895
3690.8425,0.9768431,1.9670923
3692.3315,-0.24167484,2.004871
3693.8208,-3.466718,2.144382
3695.31,0.19540216,2.2982337
3696.7993,-3.6413445,2.1222882
3698.2886,-0.4002726,2.231409
3699.7778,-1.5535443,2.0392673
3701.2668,0.58735186,2.2313442
3702.756,1.1718191,2.11441
3704.2454,-3.1177962,2.093721
3705.7346,0.3846689,2.0885983
3707.2239,-1.4040213,1.9269837
3708.7131,2.2240627,2.2053738
3710.2021,-1.9159629,2.2579353
3711.6914,3.948796,2.0023625
3713.1807,2.3471568,2.2766926
3714.67,3.8472562,2.1370633
3716.1592,1.3647774,2.0051122
3717.6484,1.505634,2.2338152
3719.1377,5.1521864,2.3085063
3720.6267,3.688573,2.3685353
3722.116,2.51373,1.9128963
3723.6052,-1.5687007,2.293792
3725.0945,-1.515218,2.124733
3726.5837,-0.7726018,2.0610118
3728.073,-0.4656332,2.065001
3729.562,-1.7894489,2.1102822
3731.0513,-1.0987558,1.921879
3732.5405,3.375508,2.1004357
3734.0298,-1.3500209,1.9245777
3735.519,-2.2067685,2.1426353
3737.0083,0.2025198,1.7710141
3738.4976,-0.2794738,1.915698
3739.9866,0.85019195,1.9492598
3741.4758,1.0647262,2.0152285
3742.965,0.43657264,2.269764
3744.4543,-1.4237074,2.0941763
3745.9436,2.6634965,2.1714175
3747.4329,-0.4062112,1.9727895
3748.9219,1.2176895,2.247282
3750.4111,0.34101716,2.2580888
3751.9004,1.6900938,1.9369698
3753.3896,0.19855556,1.8211554
3754.879,1.4502653,2.0955896
3756.3682,-1.963911,2.1224875
3757.8574,-1.73183,2.2488832
3759.3464,-0.9562467,2.0508468
3760.8357,-0.43724746,1.8306651
3762.325,-0.11029204,2.3089457
3763.8142,0.6146024,2.0442367
3765.3035,1.3708189,2.1798599
3766.7927,-0.3392271,1.8564241
3768.2817,0.43194795,2.3078673
3769.771,-0.4202034,2.3657908
3771.2603,1.1918284,2.0514708
3772.7495,0.53880113,2.0810704
3774.2388,-0.65820473,2.0260737
3775.728,0.5132932,2.2852156
3777.217,0.41000676,1.9482958
3778.7063,-1.8969656,2.1385844
3780.1956,2.4168766,2.0160375
3781.6848,-0.7702898,2.0608418
3783.174,2.143677,2.032733
3784.6633,2.6849084,2.083501
3786.1526,1.5331395,1.9907906
3787.6416,1.5007534,2.2843783
3789.1309,0.44218463,2.0563016
3790.62,-0.6685461,2.2412395
3792.1094,3.2597802,2.1213243
3793.5986,2.2787347,2.0930047
3795.088,0.50894666,2.161569
3796.577,2.9942615,2.0266132
3798.0662,-0.44852343,1.9359592
3799.5554,1.8383102,2.334945
3801.0447,0.7702459,2.2770927
3802.534,-0.15969014,2.1163976
3804.0232,1.4049066,2.4034624
3805.5125,1.2432468,2.307784
3807.0015,1.336164,2.2151906
3808.4907,0.66068614,2.243277
3809.98,2.5821767,2.016981
3811.4692,0.3614358,2.525838
3812.9585,0.14534192,2.135068
3814.4478,1.8798032,2.1594412
3815.9368,0.93195873,2.336998
3817.426,1.323101,2.0807095
3818.9153,0.4906397,2.4792068
3820.4045,-0.9110124,2.161867
3821.8938,4.3828516,2.373355
3823.383,1.4374137,2.1291285
3824.8723,-0.022416452,2.400671
3826.3613,-0.44516695,2.2493818
3827.8506,2.1322677,2.3373222
3829.3398,0.362763,2.3423054
3830.829,0.2601243,2.5352666
3832.3184,1.025809,2.1629918
3833.8076,1.2063456,2.4555902
3835.2966,-1.36798,2.2609937
3836.786,1.7789497,2.642314
3838.2751,2.545824,2.5206575
3839.7644,1.5834519,2.5013185
3841.2537,0.5496598,2.5304177
3842.743,2.2646022,2.2988718
3844.232,1.0325358,2.711635
3845.7212,1.1926388,2.2385507
3847.2104,1.4654725,2.6392465
3848.6997,-0.30199105,2.6206248
3850.189,0.8855676,2.7990315
3851.6782,1.0979198,2.7892008
3853.1675,2.3707116,2.7601163
3854.6565,0.058734268,2.658173
3856.1458,0.30043215,2.811132
3857.635,-1.0599351,2.817209
3859.1243,0.56077015,3.0642285
3860.6135,1.1753687,2.7909548
3862.1028,1.3679973,2.6609852
3863.5918,1.1917667,2.970589
3865.081,2.6718035,2.735759
3866.5703,0.9713503,2.9344864
3868.0596,1.1862977,2.8310251
3869.5488,0.9792965,2.9834523
3871.038,1.8785869,2.8914742
3872.5273,-0.5193224,2.8403528
3874.0164,-0.6395411,3.0222218
3875.5056,1.6351684,2.9003835
3876.9949,1.554851,2.7370048
3878.4841,0.4952615,2.8456507
3879.9734,0.14618063,2.8982353
3881.4626,0.5816156,2.861498
3882.9517,0.32352003,2.8801637
3884.441,-0.32533297,2.8950224
3885.9302,2.0126522,2.855394
3887.4194,1.7756171,2.885149
3888.9087,0.7824807,2.778195
3890.398,-0.12811498,2.699757
3891.8872,1.6893587,2.6379714
3893.3762,0.9594167,2.635464
3894.8655,1.4027541,2.625828
3896.3547,0.6154699,2.575186
3897.844,2.3015695,2.6219559
3899.3333,1.5623627,2.5886593
3900.8225,1.9316229,2.4139724
3902.3115,1.7001451,2.5713158
3903.8008,-0.038357794,2.52289
3905.29,0.44352785,2.4717631
3906.7793,-2.162584,2.5262392
3908.2686,2.1211796,2.8047383
3909.7578,1.2956253,2.3389971
3911.2468,0.60672903,2.3679745
3912.736,2.0047014,2.2348354
3914.2253,2.1628861,2.322857
3915.7146,0.6321212,2.6102781
3917.2039,1.6418941,2.4320111
3918.693,1.0587021,2.5674658
3920.1824,-0.08651761,2.3755906
